Segment,Brand,Collection,commodity_code,commodity_group,secondary_salesrep_name,primary_fullname,cust_store_id,cust_id,cust_name,fabric_content,final_subbrand,first_season,Garment Type,style_status,style_id,Color,Color Type,style_description,alternate_style_description
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68002,RWHT,Solid,Short Sleeve Fem-Fit Polo,SS Fem-Fit Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68004,RBLK,Solid,Short Sleeve Fem-Fit Polo,S/S Fem-Fit Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68004,RBUR,Solid,Short Sleeve Fem-Fit Polo,S/S Fem-Fit Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68004,RGRN,Solid,Short Sleeve Fem-Fit Polo,S/S Fem-Fit Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68004,RHUN,Solid,Short Sleeve Fem-Fit Polo,S/S Fem-Fit Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68004,RLTB,Solid,Short Sleeve Fem-Fit Polo,S/S Fem-Fit Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68004,RNVY,Solid,Short Sleeve Fem-Fit Polo,S/S Fem-Fit Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68004,RPUR,Solid,Short Sleeve Fem-Fit Polo,S/S Fem-Fit Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68004,RRED,Solid,Short Sleeve Fem-Fit Polo,S/S Fem-Fit Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68004,RWHT,Solid,Short Sleeve Fem-Fit Polo,S/S Fem-Fit Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68110,RBUR,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68110,RGRN,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68110,RHUN,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68110,RLTB,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68110,RNVY,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68110,RORG,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2020 January (Spring 2020),Top,Discontinued,68110,RPUR,Solid,Short Sleeve Pique Polo,SS Pique Polo
