Category,wm_week,WM Year,WM Weeks,WM Month,WM Month Nbr,upc, net unit sales,net retail sales
WM.com Exclusive,201901,2019,1,1 February,,71660516854,1,10
WM.com Exclusive,201901,2019,1,1 February,,71660516872,1,13
WM.com Exclusive,201901,2019,1,1 February,,71660517468,1,25
WM.com Exclusive,201901,2019,1,1 February,,71660517690,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660519590,0,0
WM.com Exclusive,201901,2019,1,1 February,,71660519592,5,75
WM.com Exclusive,201901,2019,1,1 February,,71660519656,0,0
WM.com Exclusive,201901,2019,1,1 February,,71660520265,1,15
WM.com Exclusive,201901,2019,1,1 February,,71660522555,-2,-30
WM.com Exclusive,201901,2019,1,1 February,,71660522945,1,15
WM.com Exclusive,201901,2019,1,1 February,,71660523124,-1,-15
WM.com Exclusive,201901,2019,1,1 February,,71660523341,2,30
WM.com Exclusive,201901,2019,1,1 February,,71660523342,4,60
WM.com Exclusive,201901,2019,1,1 February,,71660523343,1,15
WM.com Exclusive,201901,2019,1,1 February,,71660524399,2,30
WM.com Exclusive,201901,2019,1,1 February,,71660524433,2,30
WM.com Exclusive,201901,2019,1,1 February,,71660524850,1,15
WM.com Exclusive,201901,2019,1,1 February,,71660524851,0,0
WM.com Exclusive,201901,2019,1,1 February,,71660525215,1,15
WM.com Exclusive,201901,2019,1,1 February,,71660525221,1,15
WM.com Exclusive,201901,2019,1,1 February,,71660525233,1,15
WM.com Exclusive,201901,2019,1,1 February,,71660525533,2,30
WM.com Exclusive,201901,2019,1,1 February,,71660525534,1,15
WM.com Exclusive,201901,2019,1,1 February,,71660526792,3,63
WM.com Exclusive,201901,2019,1,1 February,,71660527642,1,15
WM.com Exclusive,201901,2019,1,1 February,,71660527643,1,15
Prints,201901,2019,1,1 February,,71660530926,2,22
Prints,201901,2019,1,1 February,,71660530928,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660535971,3,33
WM.com Exclusive,201901,2019,1,1 February,,71660537736,-1,-15
WM.com Exclusive,201901,2019,1,1 February,,71660537738,2,30
Seasonal Solids,201901,2019,1,1 February,,71660538828,2,32
WM.com Exclusive,201901,2019,1,1 February,,71660539913,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660539995,2,21
WM.com Exclusive,201901,2019,1,1 February,,71660540339,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660540342,1,11
Core Ess,201901,2019,1,1 February,,71660540394,-1,-8
WM.com Exclusive,201901,2019,1,1 February,,71660540412,-1,-11
WM.com Exclusive,201901,2019,1,1 February,,71660540413,2,22
WM.com Exclusive,201901,2019,1,1 February,,71660540754,2,22
WM.com Exclusive,201901,2019,1,1 February,,71660541273,3,24
WM.com Exclusive,201901,2019,1,1 February,,71660542756,2,17
WM.com Exclusive,201901,2019,1,1 February,,71660542763,1,8
WM.com Exclusive,201901,2019,1,1 February,,71660545984,2,38
WM.com Exclusive,201901,2019,1,1 February,,71660547198,1,19
WM.com Exclusive,201901,2019,1,1 February,,71660547200,0,0
WM.com Exclusive,201901,2019,1,1 February,,71660547201,1,19
WM.com Exclusive,201901,2019,1,1 February,,71660547242,1,19
WM.com Exclusive,201901,2019,1,1 February,,71660547243,0,0
WM.com Exclusive,201901,2019,1,1 February,,71660547318,5,48
WM.com Exclusive,201901,2019,1,1 February,,71660547364,5,48
WM.com Exclusive,201901,2019,1,1 February,,71660547365,2,19
WM.com Exclusive,201901,2019,1,1 February,,71660547376,6,57
WM.com Exclusive,201901,2019,1,1 February,,71660547378,11,105
WM.com Exclusive,201901,2019,1,1 February,,71660547802,1,9
WM.com Exclusive,201901,2019,1,1 February,,71660547822,2,17
WM.com Exclusive,201901,2019,1,1 February,,71660548734,1,13
WM.com Exclusive,201901,2019,1,1 February,,71660548735,1,13
WM.com Exclusive,201901,2019,1,1 February,,71660548755,2,23
WM.com Exclusive,201901,2019,1,1 February,,71660548758,3,32
WM.com Exclusive,201901,2019,1,1 February,,71660548762,1,11
WM.com Exclusive,201901,2019,1,1 February,,71660548763,3,39
WM.com Exclusive,201901,2019,1,1 February,,71660548780,4,76
